Bag;DayPostInnoculum;Methylophaga;Glaciecola;Marinobacter;Alteromonas;Pseudoalteromonas;Methylophaga (> 20 um);Alteromonas (> 20 um);Pseudoalteromonas (> 20 um);Photobacterium (> 20 um);Roseobacter (> 20 um);Halomonas (> 20 um);Vibrio (> 20 um)
4;21;0.00704;0.00070;0.00020;0.00100;0.00000;0.02206;0.00000;0.00602;0.00000;0.00000;0.00000;0
4;22;0.01089;0.00143;0.00000;0.00108;0.00024;0.02402;0.00000;0.00000;0.00000;0.00000;0.00000;0
4;22.5;0.00780;0.00264;0.00015;0.00000;0.00000;0.02001;0.00000;0.00234;0.00000;0.00072;0.00000;0
4;23;0.00429;0.00055;0.00047;0.00137;0.00101;0.02732;0.00000;0.00000;0.00000;0.00000;0.00000;0
4;23.5;0.00982;0.00152;0.00073;0.00125;0.00033;0.02366;0.00000;0.00000;0.00000;0.00000;0.00000;0
5;0;0.00000;0.00113;0.00000;0.00000;0.00000;-1;-1;-1;-1;-1;-1;-1
5;2;0.00000;0.00250;0.00000;0.00000;0.00055;-1;-1;-1;-1;-1;-1;-1
5;3;0.00000;0.00186;0.00260;0.00079;0.01629;-1;-1;-1;-1;-1;-1;-1
5;4;0.00000;0.00109;0.00046;0.00017;0.01403;-1;-1;-1;-1;-1;-1;-1
5;5;0.00000;0.00000;0.00064;0.00305;0.01518;-1;-1;-1;-1;-1;-1;-1
5;6;0.00000;0.00123;0.00069;0.00197;0.01573;-1;-1;-1;-1;-1;-1;-1
5;7;0.00034;0.00059;0.00059;0.00344;0.01381;-1;-1;-1;-1;-1;-1;-1
5;8;0.00071;0.00000;0.00171;0.01509;0.01796;-1;-1;-1;-1;-1;-1;-1
5;9;0.00242;0.00182;0.00063;0.00841;0.01127;-1;-1;-1;-1;-1;-1;-1
5;10;0.00183;0.00725;0.00101;0.00855;0.00814;-1;-1;-1;-1;-1;-1;-1
5;11;0.00098;0.00717;0.00038;0.00107;0.00237;-1;-1;-1;-1;-1;-1;-1
5;12;0.00074;0.00744;0.00000;0.00387;0.00156;-1;-1;-1;-1;-1;-1;-1
5;13;0.00000;0.00164;0.00000;0.00228;0.00064;-1;-1;-1;-1;-1;-1;-1
5;14;0.00055;0.00483;0.00000;0.00846;0.00181;-1;-1;-1;-1;-1;-1;-1
5;15;0.00058;0.00292;0.00000;0.01267;0.00000;-1;-1;-1;-1;-1;-1;-1
5;16;0.00295;0.00346;0.00000;0.01167;0.00000;-1;-1;-1;-1;-1;-1;-1
5;17;0.00125;0.00365;0.00000;0.07019;0.00145;-1;-1;-1;-1;-1;-1;-1
5;18;0.00371;0.00178;0.00000;0.03371;0.00078;-1;-1;-1;-1;-1;-1;-1
5;19;0.00184;0.00310;0.00000;0.01572;0.00000;-1;-1;-1;-1;-1;-1;-1
5;20;0.00173;0.00804;0.00028;0.00310;0.00020;-1;-1;-1;-1;-1;-1;-1
5;21;0.00403;0.00177;0.00000;0.00290;0.00000;-1;-1;-1;-1;-1;-1;-1
5;22;0.00384;0.00492;0.00017;0.00605;0.00201;-1;-1;-1;-1;-1;-1;-1
5;22.5;0.00454;0.00835;0.00000;0.00221;0.00131;-1;-1;-1;-1;-1;-1;-1
5;23;0.00322;0.00133;0.00000;0.00150;0.00061;-1;-1;-1;-1;-1;-1;-1
5;23.5;0.00544;0.00454;0.00000;0.00164;0.00073;-1;-1;-1;-1;-1;-1;-1
6;0;0.00000;0.00123;0.00000;0.00000;0.00000;-1;-1;-1;-1;-1;-1;-1
6;2;0.00000;0.00216;0.00000;0.00000;0.00136;-1;-1;-1;-1;-1;-1;-1
6;3;0.00000;0.00156;0.00000;0.00000;0.00744;-1;-1;-1;-1;-1;-1;-1
6;4;0.00012;0.00206;0.00283;0.00120;0.01560;-1;-1;-1;-1;-1;-1;-1
6;5;0.00033;0.00000;0.00583;0.01415;0.01480;-1;-1;-1;-1;-1;-1;-1
6;6;0.00050;0.00058;0.00424;0.00424;0.01794;-1;-1;-1;-1;-1;-1;-1
6;7;0.00071;0.00000;0.00981;0.01110;0.03465;-1;-1;-1;-1;-1;-1;-1
6;8;0.00045;0.00109;0.00097;0.00472;0.00677;-1;-1;-1;-1;-1;-1;-1
6;9;0.00053;0.00266;0.00168;0.00642;0.00957;-1;-1;-1;-1;-1;-1;-1
6;10;0.00062;0.00975;0.00000;0.01220;0.01306;-1;-1;-1;-1;-1;-1;-1
6;11;0.00055;0.00414;0.00000;0.00171;0.00098;-1;-1;-1;-1;-1;-1;-1
6;12;0.00000;0.00434;0.00000;0.00088;0.00046;-1;-1;-1;-1;-1;-1;-1
6;13;0.00075;0.00113;0.00072;0.00110;0.00000;-1;-1;-1;-1;-1;-1;-1
6;14;0.00000;0.00456;0.00000;0.00077;0.00100;-1;-1;-1;-1;-1;-1;-1
6;15;0.00197;0.00250;0.00000;0.00342;0.00000;-1;-1;-1;-1;-1;-1;-1
6;16;0.00282;0.00220;0.00026;0.00092;0.00026;-1;-1;-1;-1;-1;-1;-1
6;17;0.00528;0.00000;0.00000;0.00436;0.00207;-1;-1;-1;-1;-1;-1;-1
6;18;0.00202;0.00270;0.00067;0.00324;0.00108;-1;-1;-1;-1;-1;-1;-1
6;19;0.00456;0.00290;0.00031;0.00123;0.00072;-1;-1;-1;-1;-1;-1;-1
6;20;0.00253;0.00137;0.00000;0.00129;0.00000;-1;-1;-1;-1;-1;-1;-1
6;21;0.00578;0.00000;0.00000;0.00106;0.00021;-1;-1;-1;-1;-1;-1;-1
6;22;0.00510;0.00160;0.00000;0.00119;0.00041;-1;-1;-1;-1;-1;-1;-1
6;22.5;0.00715;0.00386;0.00057;0.00234;0.00000;-1;-1;-1;-1;-1;-1;-1
6;23;0.00674;0.00040;0.00044;0.00102;0.00000;-1;-1;-1;-1;-1;-1;-1
6;23.5;0.00482;0.00140;0.00038;0.00079;0.00000;-1;-1;-1;-1;-1;-1;-1
7;0;0.00000;0.00119;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0
7;2;0.00000;0.00236;0.00000;0.00000;0.00053;0.00000;0.00000;0.00772;0.00000;0.00000;0.00000;0
7;3;0.00000;0.00131;0.00000;0.00000;0.00908;0.00000;0.00000;0.03000;0.00000;0.00000;0.00000;0
7;4;0.00019;0.00188;0.00041;0.00000;0.01574;0.00000;0.00000;0.05229;0.00000;0.00000;0.00000;0
7;5;0.00000;0.00044;0.00096;0.00171;0.01556;0.00000;0.00000;0.04583;0.00201;0.00000;0.00000;0
7;6;0.00000;0.00102;0.00087;0.00229;0.01033;0.00000;0.00000;0.07778;0.00000;0.00000;0.00000;0
7;7;0.00000;0.00160;0.00408;0.00847;0.02226;0.00000;0.00000;0.04778;0.00227;0.00000;0.00000;0
7;8;0.00017;0.00000;0.00053;0.03152;0.03369;0.00000;0.00000;0.04152;0.00000;0.00000;0.00000;0
7;9;0.00050;0.00197;0.00000;0.00674;0.00767;0.00000;0.00850;0.02931;0.00000;0.00000;0.00000;0
7;10;0.00050;0.01388;0.00097;0.01082;0.01179;0.00000;0.00692;0.03801;0.00000;0.00000;0.00000;0.005931459
7;11;0.00027;0.00697;0.00000;0.00100;0.00196;0.00000;0.00000;0.05239;0.00000;0.00000;0.00000;0.018142235
7;12;0.00013;0.00687;0.00000;0.00130;0.00085;0.00626;0.00000;0.02067;0.00000;0.00000;0.00000;0.028186658
7;13;0.00013;0.00176;0.00000;0.00123;0.00080;0.00000;0.00000;0.01911;0.00000;0.00000;0.00000;0.031500129
7;14;0.00035;0.00590;0.00000;0.00000;0.00000;0.01446;0.00000;0.00000;0.00000;0.00000;0.00000;0.015184382
7;15;0.00126;0.00177;0.00000;0.00333;0.00085;0.01303;0.00000;0.00999;0.00000;0.00000;0.00000;0
7;16;0.00724;0.00430;0.00000;0.00438;0.00000;0.02240;0.00000;0.01703;0.00000;0.00000;0.00000;0
7;17;0.01080;0.00379;0.00024;0.00052;0.00000;0.03803;0.00000;0.01245;0.00000;0.00000;0.00000;0.004336224
7;18;0.01386;0.00292;0.00000;0.00205;0.00000;0.04654;0.00271;0.00510;0.00000;0.00000;0.00000;0
7;19;0.01021;0.00743;0.00000;0.00086;0.00022;0.05280;0.00000;0.00000;0.00000;0.00000;0.00000;0
7;20;0.01063;0.00497;0.00042;0.00284;0.00000;0.03007;0.01058;0.00000;0.00000;0.00000;0.00000;0
7;21;0.00791;0.00173;0.00068;0.00166;0.00031;0.02488;0.00912;0.00000;0.00000;0.00000;0.00000;0
7;22;0.00464;0.00277;0.00000;0.00142;0.00035;0.02730;0.00296;0.00307;0.00000;0.00000;0.00000;0.00095228
7;22.5;0.00764;0.00421;0.00000;0.00200;0.00021;0.01887;0.01455;0.00000;0.00000;0.00000;0.00000;0
7;23;0.00746;0.00044;0.00000;0.00000;0.00000;0.02316;0.00000;0.00000;0.00000;0.00000;0.00000;0
7;23.5;0.00508;0.00046;0.00000;0.00058;0.00031;0.02334;0.00653;0.00000;0.00000;0.00000;0.00000;0
8;0;0.00000;0.00136;0.00000;0.00000;0.00000;-1;-1;-1;-1;-1;-1;-1
8;2;0.00000;0.00259;0.00000;0.00000;0.00072;-1;-1;-1;-1;-1;-1;-1
8;3;0.00024;0.00086;0.00220;0.00058;0.01505;-1;-1;-1;-1;-1;-1;-1
8;4;0.00000;0.00187;0.00027;0.00055;0.01077;-1;-1;-1;-1;-1;-1;-1
8;5;0.00000;0.00000;0.00086;0.00535;0.01239;-1;-1;-1;-1;-1;-1;-1
8;6;0.00017;0.00000;0.00000;0.00100;0.00546;-1;-1;-1;-1;-1;-1;-1
8;7;0.00000;0.00000;0.00082;0.00520;0.00950;-1;-1;-1;-1;-1;-1;-1
8;8;0.00000;0.00015;0.00177;0.00796;0.00315;-1;-1;-1;-1;-1;-1;-1
8;9;0.00053;0.00000;0.00045;0.00487;0.00315;-1;-1;-1;-1;-1;-1;-1
8;10;0.00000;0.00037;0.00018;0.00945;0.00569;-1;-1;-1;-1;-1;-1;-1
8;11;0.00000;0.00182;0.00131;0.00575;0.00572;-1;-1;-1;-1;-1;-1;-1
8;12;0.00000;0.00402;0.00053;0.00280;0.00155;-1;-1;-1;-1;-1;-1;-1
8;13;0.00000;0.00000;0.00096;0.00158;0.00082;-1;-1;-1;-1;-1;-1;-1
8;14;0.00000;0.00371;0.00083;0.00266;0.00124;-1;-1;-1;-1;-1;-1;-1
8;15;0.00057;0.00127;0.00000;0.00968;0.00137;-1;-1;-1;-1;-1;-1;-1
8;16;0.00000;0.01097;0.00000;0.00900;0.00103;-1;-1;-1;-1;-1;-1;-1
8;17;0.00096;0.00831;0.00000;0.01166;0.00148;-1;-1;-1;-1;-1;-1;-1
8;18;0.00138;0.00000;0.00106;0.00376;0.00000;-1;-1;-1;-1;-1;-1;-1
8;19;0.00080;0.00485;0.00056;0.00434;0.00112;-1;-1;-1;-1;-1;-1;-1
8;20;0.00108;0.00270;0.00052;0.00563;0.00084;-1;-1;-1;-1;-1;-1;-1
8;21;0.00064;0.00000;0.00068;0.00688;0.00064;-1;-1;-1;-1;-1;-1;-1
8;22;0.00180;0.00140;0.00158;0.00630;0.00084;-1;-1;-1;-1;-1;-1;-1
8;22.5;0.00134;0.00264;0.00123;0.00390;0.00077;-1;-1;-1;-1;-1;-1;-1
8;23;0.00000;0.00348;0.00052;0.00543;0.00074;-1;-1;-1;-1;-1;-1;-1
8;23.5;0.00060;0.00153;0.00390;0.00093;0.00000;-1;-1;-1;-1;-1;-1;-1
