Bag;DayPostInnoculum;NeukHighSSC (cells/mL);NeuksLowSSC (cells/mL);Peuks (cells/mL);Syn (cells/mL);Het. Bacteria (cells/mL);EhV;MPV;MOI;Ciliates (cells/mL);Thraustochytrids ddPCR;% infected Ehux;Nitrate (umolN/L);Chlorophyll (ug/L);DMS (pmol/mL);DMS std;DMSPd;DMSPt;DMSPt std;DMSPp;DMSPd std;PON (nmol/mL);
3;21;28205;20347;13673;16706;2767147;248000;5217572;666;417.41;;5.41;0.049;12.86;49.18;0.23;88.18;476.46;0.29;388.29;0.29;10.97;
3;21.25;14182;10452;11545;21043;;;;0;;;;;;;;;;;;;;
3;21.5;15667;8348;9455;24686;5150041;;6828873;1301;;;;;;;;;;;;;;
3;22;22273;10276;11095;22852;4584434;208000;5104654;663;342.69;;4.18;0.099;12.72;22.47;0.55;31.34;562.22;7.38;530.88;7.38;9.64;
3;22.5;30314;10569;8056;25128;4604571;274000;4514924;350;;;;0.087;11.47;22.93;0.34;54.16;541.44;31.69;487.28;31.69;10.70;
3;23;37774;10085;7139;24916;3886842;382000;4295545;279;141.06;86750;1.32;0.06;10.47;24.78;0.67;27.53;495.47;30.72;467.94;30.72;8.94;
3;23.5;20898;14752;4997;27516;4993840;80200;2464066;410;;;;0.07;8.74;24.58;0.12;44.21;676.49;11.52;632.28;11.52;11.68;
3;24;8847;7661;4045;27223;5040992;;4561285;1466;;;;;;;;;;;;;;
4;0;148;1348;18543;2269;;296;;0;;;;0.042;2.03;4.55;0.03;9.76;47.37;0.34;37.61;0.34;1.48;
4;1;134;1450;15813;3470;;;;0;;;;1.19;2.25;4.38;0.03;7.02;55.59;1.87;48.57;1.87;1.95;
4;1.5;64;1397;16472;2580;;;;0;;;;;;;;;;;;;;
4;2;56;2293;22837;2804;;41;;0;;590;;2.196;2.75;6.16;0.21;12.21;61.74;0.17;49.53;0.17;2.31;
4;2.5;104;2556;30376;10697;;;;0;;;;;;;;;;;;;;
4;3;198;3468;41037;10560;;56;;0;;;;3.296;3.41;5.92;0.21;5.09;93.38;1.28;88.30;1.28;2.60;
4;3.5;183;4872;67868;5102;;;;0;;;;;;;;;;;;;;
4;4;289;5691;73164;4762;;;;0;;;;3.846;4.15;5.60;0.11;5.23;103.13;4.71;97.89;4.71;3.01;
